17.92	5.00	0.00
17.83	5.00	0.00
17.75	5.00	0.00
17.67	5.00	0.00
17.60	5.00	0.00
17.54	5.00	0.00
17.48	5.00	0.00
17.38	5.00	0.00
17.27	5.00	0.00
17.17	5.00	0.00
17.06	5.00	0.00
16.96	5.00	0.00
16.86	5.00	0.00
16.78	5.00	0.00
16.70	5.00	0.00
16.63	5.00	0.00
16.57	5.00	0.00
16.51	5.00	0.00
16.42	5.00	0.00
16.32	5.00	0.00
16.21	5.00	0.00
16.11	5.00	0.00
16.00	5.00	0.00
15.90	5.00	0.00
15.81	5.00	0.00
15.73	5.00	0.00
15.66	5.00	0.00
15.59	5.00	0.00
15.53	5.00	0.00
15.46	5.00	0.00
15.36	5.00	0.00
15.25	5.00	0.00
15.15	5.00	0.00
15.04	5.00	0.00
14.94	5.00	0.00
14.84	5.00	0.00
14.76	5.00	0.00
14.68	5.00	0.00
14.61	5.00	0.00
14.55	5.00	0.00
14.50	5.00	0.00
14.40	5.00	0.00
14.29	5.00	0.00
14.19	5.00	0.00
14.08	5.00	0.00
13.98	5.00	0.00
13.88	5.00	0.00
13.79	5.00	0.00
13.71	5.00	0.00
13.64	5.00	0.00
13.58	5.00	0.00
13.52	5.00	0.00
13.44	5.00	0.00
13.33	5.00	0.00
13.23	5.00	0.00
13.12	5.00	0.00
13.02	5.00	0.00
12.91	5.00	0.00
12.82	5.00	0.00
12.74	5.00	0.00
12.67	5.00	0.00
12.60	5.00	0.00
12.54	5.00	0.00
12.48	5.00	0.00
12.37	5.00	0.00
12.27	5.00	0.00
12.16	5.00	0.00
12.06	5.00	0.00
11.95	5.00	0.00
11.86	5.00	0.00
11.77	5.00	0.00
11.69	5.00	0.00
11.62	5.00	0.00
11.56	5.00	0.00
11.50	5.00	0.00
11.41	5.00	0.00
11.31	5.00	0.00
11.20	5.00	0.00
11.10	5.00	0.00
10.99	5.00	0.00
10.89	5.00	0.00
10.80	5.00	0.00
10.72	5.00	0.00
10.65	5.00	0.00
10.58	5.00	0.00
10.53	5.00	0.00
10.45	5.00	0.00
10.35	5.00	0.00
10.24	5.00	0.00
10.14	5.00	0.00
10.03	5.00	0.00
9.93	5.00	0.00
9.84	5.00	0.00
9.75	5.00	0.00
9.68	5.00	0.00
9.61	5.00	0.00
9.55	5.00	0.00
9.49	5.00	0.00
9.39	5.00	0.00
9.28	5.00	0.00
9.18	5.00	0.00
9.07	5.00	0.00
8.97	5.00	0.00
8.87	5.00	0.00
8.78	5.00	0.00
8.70	5.00	0.00
8.63	5.00	0.00
8.57	5.00	0.00
8.51	5.00	0.00
8.43	5.00	0.00
8.32	5.00	0.00
8.22	5.00	0.00
8.11	5.00	0.00
8.01	5.00	0.00
7.91	5.00	0.00
7.82	5.00	0.00
7.73	5.00	0.00
7.66	5.00	0.00
7.59	5.00	0.00
7.53	5.00	0.00
7.47	5.03	0.00
7.36	5.12	0.00
7.26	5.21	0.00
7.15	5.29	0.00
7.05	5.36	0.00
6.94	5.43	0.00
6.85	5.48	0.00
6.76	5.54	0.00
6.69	5.58	0.00
6.62	5.62	0.00
6.56	5.72	0.00
6.50	5.83	0.00
6.45	5.93	0.00
6.40	6.04	0.00
6.36	6.13	0.00
6.33	6.22	0.00
6.29	6.30	0.00
6.27	6.37	0.00
6.24	6.43	0.00
6.21	6.49	0.00
6.14	6.58	0.00
6.03	6.68	0.00
5.93	6.79	0.00
5.83	6.89	0.00
5.75	7.00	0.00
5.68	7.10	0.00
5.61	7.19	0.00
5.55	7.27	0.00
5.49	7.34	0.00
5.44	7.41	0.00
5.40	7.50	0.00
5.36	7.60	0.00
5.32	7.71	0.00
5.29	7.81	0.00
5.26	7.92	0.00
5.23	8.02	0.00
5.21	8.12	0.00
5.19	8.21	0.00
5.17	8.29	0.00
5.15	8.36	0.00
5.14	8.42	0.00
5.12	8.48	0.00
5.11	8.56	0.00
5.10	8.67	0.00
5.09	8.77	0.00
5.08	8.88	0.00
5.07	8.98	0.00
5.07	9.08	0.00
5.06	9.17	0.00
5.05	9.26	0.00
5.05	9.33	0.00
5.04	9.40	0.00
5.04	9.46	0.00
5.03	9.52	0.00
5.03	9.62	0.00
5.03	9.73	0.00
5.03	9.83	0.00
5.02	9.94	0.00
5.02	10.04	0.00
5.02	10.14	0.00
5.02	10.23	0.00
5.02	10.30	0.00
5.01	10.37	0.00
5.01	10.44	0.00
5.01	10.49	0.00
5.01	10.59	0.00
5.01	10.69	0.00
5.01	10.80	0.00
5.01	10.90	0.00
5.01	11.01	0.00
5.01	11.10	0.00
5.01	11.19	0.00
5.00	11.28	0.00
5.00	11.35	0.00
5.00	11.41	0.00
5.00	11.47	0.00
5.00	11.54	0.00
5.00	11.65	0.00
5.00	11.75	0.00
5.00	11.86	0.00
5.00	11.96	0.00
5.00	12.07	0.00
5.00	12.16	0.00
5.00	12.25	0.00
5.00	12.32	0.00
5.00	12.39	0.00
5.00	12.45	0.00
5.00	12.51	0.00
5.10	12.61	0.00
5.19	12.71	0.00
5.27	12.82	0.00
5.34	12.92	0.00
5.41	13.03	0.00
5.47	13.13	0.00
5.52	13.21	0.00
5.57	13.29	0.00
5.61	13.36	0.00
5.65	13.46	0.00
5.69	13.56	0.00
5.72	13.67	0.00
5.75	13.77	0.00
5.77	13.88	0.00
5.80	13.98	0.00
5.82	14.08	0.00
5.83	14.17	0.00
5.85	14.26	0.00
5.87	14.33	0.00
5.88	14.40	0.00
5.89	14.46	0.00
5.90	14.52	0.00
5.91	14.62	0.00
5.92	14.73	0.00
5.93	14.83	0.00
5.94	14.94	0.00
5.94	15.04	0.00
5.95	15.14	0.00
5.95	15.23	0.00
5.96	15.30	0.00
5.96	15.37	0.00
5.97	15.44	0.00
5.97	15.49	0.00
6.05	15.59	0.00
6.14	15.69	0.00
6.23	15.80	0.00
6.31	15.90	0.00
6.38	16.01	0.00
6.44	16.11	0.00
6.50	16.19	0.00
6.55	16.28	0.00
6.59	16.35	0.00
6.65	16.41	0.00
6.76	16.47	0.00
6.86	16.53	0.00
6.97	16.57	0.00
7.07	16.62	0.00
7.16	16.65	0.00
7.25	16.69	0.00
7.32	16.72	0.00
7.39	16.75	0.00
7.45	16.77	0.00
7.51	16.80	0.00
7.61	16.82	0.00
7.72	16.84	0.00
7.82	16.85	0.00
7.93	16.87	0.00
8.03	16.88	0.00
8.13	16.89	0.00
8.22	16.90	0.00
8.30	16.91	0.00
8.37	16.92	0.00
8.43	16.93	0.00
8.49	16.94	0.00
8.57	16.94	0.00
8.68	16.95	0.00
8.78	16.95	0.00
8.89	16.96	0.00
8.99	16.96	0.00
9.09	16.97	0.00
9.18	16.97	0.00
9.27	16.97	0.00
9.34	16.98	0.00
9.41	16.98	0.00
9.47	16.98	0.00
9.53	16.98	0.00
9.64	16.98	0.00
9.74	16.99	0.00
9.85	16.99	0.00
9.95	16.99	0.00
10.06	16.99	0.00
10.15	16.99	0.00
10.24	16.99	0.00
10.31	16.99	0.00
10.38	16.99	0.00
10.44	16.99	0.00
10.50	16.99	0.00
10.60	16.99	0.00
10.70	17.00	0.00
10.81	17.00	0.00
10.91	17.00	0.00
11.02	17.00	0.00
11.12	17.00	0.00
11.20	17.00	0.00
11.28	17.00	0.00
11.36	17.00	0.00
11.42	17.00	0.00
11.48	17.00	0.00
11.56	17.00	0.00
11.66	17.00	0.00
11.77	17.00	0.00
11.87	17.00	0.00
11.98	17.00	0.00
12.08	17.00	0.00
12.17	17.00	0.00
12.25	17.00	0.00
12.33	17.00	0.00
12.40	17.00	0.00
12.46	17.00	0.00
12.52	17.00	0.00
12.62	17.00	0.00
12.73	17.00	0.00
12.83	17.00	0.00
12.94	17.00	0.00
13.04	17.00	0.00
13.14	17.00	0.00
13.22	17.00	0.00
13.30	17.00	0.00
13.37	17.00	0.00
13.43	17.00	0.00
13.49	17.00	0.00
13.58	17.00	0.00
13.69	17.00	0.00
13.79	17.00	0.00
13.90	17.00	0.00
14.00	17.00	0.00
14.10	17.00	0.00
14.19	17.00	0.00
14.27	17.00	0.00
14.35	17.00	0.00
14.41	17.00	0.00
14.47	17.00	0.00
14.54	17.00	0.00
14.65	17.00	0.00
14.75	17.00	0.00
14.86	17.00	0.00
14.96	17.00	0.00
15.06	17.00	0.00
15.16	17.00	0.00
15.24	17.00	0.00
15.32	17.00	0.00
15.39	17.00	0.00
15.45	17.00	0.00
15.50	17.00	0.00
15.61	17.00	0.00
15.71	17.00	0.00
15.82	17.00	0.00
15.92	17.00	0.00
16.03	17.00	0.00
16.12	17.00	0.00
16.21	17.00	0.00
16.29	17.00	0.00
16.36	17.00	0.00
16.43	17.00	0.00
16.48	17.00	0.00
16.54	17.00	0.00
16.58	17.00	0.00
16.62	17.00	0.00
16.66	17.00	0.00
16.70	17.00	0.00
16.73	17.00	0.00
16.75	17.00	0.00
16.78	17.00	0.00
16.80	17.00	0.00
16.82	17.00	0.00
16.84	17.00	0.00
16.85	17.00	0.00
16.87	17.00	0.00
16.88	17.00	0.00
16.89	17.00	0.00
16.90	17.00	0.00
16.91	17.00	0.00
16.92	17.00	0.00
16.93	17.00	0.00
16.94	17.00	0.00
16.94	17.00	0.00
16.95	17.00	0.00
16.95	17.00	0.00
16.96	17.00	0.00
16.96	17.00	0.00
16.97	17.00	0.00
16.97	17.00	0.00
16.97	17.00	0.00
16.98	17.00	0.00
16.98	17.00	0.00
16.98	17.00	0.00
16.98	17.00	0.00
16.98	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
16.99	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
17.00	17.00	0.00
